,Unnamed: 0,file,Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context,area,area_coor
249499,249499,metropolitan-street.csv,a767181e8faef665a6376c7fdfeb561a4907a6a6e27878922d86a16532b842a4,2018-07,Metropolitan Police Service,Metropolitan Police Service,-0.091394,51.528493,On or near Shepherdess Place,E01001779,Hackney 026A,Bicycle theft,Under investigation,,Hackney,"51.54545751868495,-0.06844133632836444"
249498,249498,metropolitan-street.csv,a767181e8faef665a6376c7fdfeb561a4907a6a6e27878922d86a16532b842a4,2018-07,Metropolitan Police Service,Metropolitan Police Service,-0.091394,51.528493,On or near Shepherdess Place,E01001779,Hackney 026A,Bicycle theft,Under investigation,,Hackney,"51.54545751868495,-0.06844133632836444"
191972,191972,metropolitan-street.csv,a7db5aa9957c32cedd84b87a01b2de49e28507d0503173c114a244c3ae03a538,2017-11,Metropolitan Police Service,Metropolitan Police Service,-0.211267,51.51273,On or near Portland Road,E01002875,Kensington and Chelsea 007E,Bicycle theft,Status update unavailable,,Kensington and Chelsea,"51.50245878403228,-0.1925145956346927"
191970,191970,metropolitan-street.csv,a7db5aa9957c32cedd84b87a01b2de49e28507d0503173c114a244c3ae03a538,2017-11,Metropolitan Police Service,Metropolitan Police Service,-0.211267,51.51273,On or near Portland Road,E01002875,Kensington and Chelsea 007E,Bicycle theft,Status update unavailable,,Kensington and Chelsea,"51.50245878403228,-0.1925145956346927"
191971,191971,metropolitan-street.csv,a7db5aa9957c32cedd84b87a01b2de49e28507d0503173c114a244c3ae03a538,2017-11,Metropolitan Police Service,Metropolitan Police Service,-0.211267,51.51273,On or near Portland Road,E01002875,Kensington and Chelsea 007E,Bicycle theft,Status update unavailable,,Kensington and Chelsea,"51.50245878403228,-0.1925145956346927"
179174,179174,metropolitan-street.csv,a95f1cb874025aa0921daf13eccba813674cd69a9be86389c10d7ba3a5ae67dd,2017-10,Metropolitan Police Service,Metropolitan Police Service,-0.255392,51.49586,On or near The Avenue,E01002573,Hounslow 001C,Bicycle theft,Status update unavailable,,Hounslow,"51.47331501733365,-0.3368637311111116"
179172,179172,metropolitan-street.csv,a95f1cb874025aa0921daf13eccba813674cd69a9be86389c10d7ba3a5ae67dd,2017-10,Metropolitan Police Service,Metropolitan Police Service,-0.255392,51.49586,On or near The Avenue,E01002573,Hounslow 001C,Bicycle theft,Status update unavailable,,Hounslow,"51.47331501733365,-0.3368637311111116"
256234,256234,metropolitan-street.csv,aa29ca7ad27ada23360ae872da2dda985767fd2490c14d48b9a9eff0158116df,2018-08,Metropolitan Police Service,Metropolitan Police Service,-0.09787,51.50663,On or near Sumner Street,E01003935,Southwark 002D,Bicycle theft,Under investigation,,Southwark,"51.4886738403799,-0.07960500688836059"
256232,256232,metropolitan-street.csv,aa29ca7ad27ada23360ae872da2dda985767fd2490c14d48b9a9eff0158116df,2018-08,Metropolitan Police Service,Metropolitan Police Service,-0.09787,51.50663,On or near Sumner Street,E01003935,Southwark 002D,Bicycle theft,Under investigation,,Southwark,"51.4886738403799,-0.07960500688836059"
215300,215300,metropolitan-street.csv,aac78841ae8f4bbe7c3b73578548c573b3a14db5d3e3b9dbd2c94084240aa682,2018-03,Metropolitan Police Service,Metropolitan Police Service,-0.091172,51.58615,On or near West Green Road,E01002043,Haringey 026A,Bicycle theft,Status update unavailable,,Haringey,"51.587896490565996,-0.09543112466307277"
215299,215299,metropolitan-street.csv,aac78841ae8f4bbe7c3b73578548c573b3a14db5d3e3b9dbd2c94084240aa682,2018-03,Metropolitan Police Service,Metropolitan Police Service,-0.091172,51.58615,On or near West Green Road,E01002043,Haringey 026A,Bicycle theft,Status update unavailable,,Haringey,"51.587896490565996,-0.09543112466307277"
267436,267436,metropolitan-street.csv,aaed96a42f9de807a9585e967361598745f0566ebd0d60db585924caed3cf0eb,2018-09,Metropolitan Police Service,Metropolitan Police Service,-0.216621,51.528782,On or near Regent Street,E01000586,Brent 032E,Bicycle theft,Under investigation,,Brent,"51.54918472638431,-0.25241500488599294"
267438,267438,metropolitan-street.csv,aaed96a42f9de807a9585e967361598745f0566ebd0d60db585924caed3cf0eb,2018-09,Metropolitan Police Service,Metropolitan Police Service,-0.216621,51.528782,On or near Regent Street,E01000586,Brent 032E,Bicycle theft,Under investigation,,Brent,"51.54918472638431,-0.25241500488599294"
163682,163682,metropolitan-street.csv,abb72a7e66ea13abda2832c33bc17509ac70ad06402bf8ed5159db47165fa6eb,2017-08,Metropolitan Police Service,Metropolitan Police Service,-0.208665,51.383495,On or near Gillian Park Road,E01004134,Sutton 003C,Bicycle theft,Status update unavailable,,Sutton,"51.36772519120877,-0.18592183296703305"
163681,163681,metropolitan-street.csv,abb72a7e66ea13abda2832c33bc17509ac70ad06402bf8ed5159db47165fa6eb,2017-08,Metropolitan Police Service,Metropolitan Police Service,-0.208665,51.383495,On or near Gillian Park Road,E01004134,Sutton 003C,Bicycle theft,Investigation complete; no suspect identified,,Sutton,"51.36772519120877,-0.18592183296703305"
73853,73853,metropolitan-street.csv,ac4df7a181d9fcbc6899e0fdaa1d642c0a86d7a69a16cb6a17ab7f7d088fd45b,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.04757,51.677515,On or near Lilac Avenue,E01001545,Enfield 002B,Bicycle theft,Status update unavailable,,Enfield,"51.64422227496921,-0.06524620098643646"
73852,73852,metropolitan-street.csv,ac4df7a181d9fcbc6899e0fdaa1d642c0a86d7a69a16cb6a17ab7f7d088fd45b,2016-10,Metropolitan Police Service,Metropolitan Police Service,-0.04757,51.677515,On or near Lilac Avenue,E01001545,Enfield 002B,Bicycle theft,Status update unavailable,,Enfield,"51.64422227496921,-0.06524620098643646"
215293,215293,metropolitan-street.csv,ac732176b6ca4246553f33c68511d57aef1d881eb832976a9abbd6fa61b74287,2018-03,Metropolitan Police Service,Metropolitan Police Service,-0.13256600000000002,51.587005,On or near Farrer Mews,E01002020,Haringey 021A,Bicycle theft,Status update unavailable,,Haringey,"51.587896490565996,-0.09543112466307277"
215292,215292,metropolitan-street.csv,ac732176b6ca4246553f33c68511d57aef1d881eb832976a9abbd6fa61b74287,2018-03,Metropolitan Police Service,Metropolitan Police Service,-0.13256600000000002,51.587005,On or near Farrer Mews,E01002020,Haringey 021A,Bicycle theft,Investigation complete; no suspect identified,,Haringey,"51.587896490565996,-0.09543112466307277"
118053,118053,metropolitan-street.csv,ad01052eb7520e1283374af51803ee7da6036b6c0316313354b14d06ea2f154b,2017-04,Metropolitan Police Service,Metropolitan Police Service,-0.377875,51.469445,On or near Ede Close,E01002663,Hounslow 017D,Bicycle theft,Investigation complete; no suspect identified,,Hounslow,"51.47331501733365,-0.3368637311111116"
118052,118052,metropolitan-street.csv,ad01052eb7520e1283374af51803ee7da6036b6c0316313354b14d06ea2f154b,2017-04,Metropolitan Police Service,Metropolitan Police Service,-0.377875,51.469445,On or near Ede Close,E01002663,Hounslow 017D,Bicycle theft,Status update unavailable,,Hounslow,"51.47331501733365,-0.3368637311111116"
55704,55704,metropolitan-street.csv,adad7ce22d7016fb5801cf90cb624d07c12dc1b62c4b7375afa3552695c901a6,2016-08,Metropolitan Police Service,Metropolitan Police Service,-0.076379,51.546782,On or near Kingsland Green,E01033699,Hackney 021G,Bicycle theft,Status update unavailable,,Hackney,"51.54545751868495,-0.06844133632836444"
55706,55706,metropolitan-street.csv,adad7ce22d7016fb5801cf90cb624d07c12dc1b62c4b7375afa3552695c901a6,2016-08,Metropolitan Police Service,Metropolitan Police Service,-0.076379,51.546782,On or near Kingsland Green,E01033699,Hackney 021G,Bicycle theft,Investigation complete; no suspect identified,,Hackney,"51.54545751868495,-0.06844133632836444"
283320,283320,metropolitan-street.csv,ae0a871f28784eba6e1888b5072f00254cbd5fc0adeda90241e6db023446b355,2018-11,Metropolitan Police Service,Metropolitan Police Service,-0.204474,51.48207,On or near St Thomas'S Way,E01001882,Hammersmith and Fulham 017C,Bicycle theft,Under investigation,,Hammersmith and Fulham,"51.49213691784817,-0.21837536501288657"
283319,283319,metropolitan-street.csv,ae0a871f28784eba6e1888b5072f00254cbd5fc0adeda90241e6db023446b355,2018-11,Metropolitan Police Service,Metropolitan Police Service,-0.204474,51.48207,On or near St Thomas'S Way,E01001882,Hammersmith and Fulham 017C,Bicycle theft,Under investigation,,Hammersmith and Fulham,"51.49213691784817,-0.21837536501288657"
162876,162876,metropolitan-street.csv,ae582977fd81271a738898f8b0f778ba37cbe71c1d9029139be1b2a7009c012e,2017-08,Metropolitan Police Service,Metropolitan Police Service,-0.101471,51.546165,On or near St Paul'S Road,E01002791,Islington 016E,Bicycle theft,Status update unavailable,,Islington,"51.54171541440087,-0.10633173438900535"
162873,162873,metropolitan-street.csv,ae582977fd81271a738898f8b0f778ba37cbe71c1d9029139be1b2a7009c012e,2017-08,Metropolitan Police Service,Metropolitan Police Service,-0.101471,51.546165,On or near St Paul'S Road,E01002791,Islington 016E,Bicycle theft,Status update unavailable,,Islington,"51.54171541440087,-0.10633173438900535"
141820,141820,metropolitan-street.csv,ae5dd6dac2a096202e7dd9b333acd46f164980470ac8ee76b7051c0a3e4ff8f3,2017-06,Metropolitan Police Service,Metropolitan Police Service,-0.286155,51.477663,On or near Station Approach,E01003847,Richmond upon Thames 002B,Bicycle theft,Status update unavailable,,Richmond upon Thames,"51.44905630677717,-0.3151747927180963"
141822,141822,metropolitan-street.csv,ae5dd6dac2a096202e7dd9b333acd46f164980470ac8ee76b7051c0a3e4ff8f3,2017-06,Metropolitan Police Service,Metropolitan Police Service,-0.286155,51.477663,On or near Station Approach,E01003847,Richmond upon Thames 002B,Bicycle theft,Status update unavailable,,Richmond upon Thames,"51.44905630677717,-0.3151747927180963"
66458,66458,metropolitan-street.csv,ae80d6eb72252f67b2f1fb2758e229b99e4bc3193e7f3a28430bd4c14c00714d,2016-09,Metropolitan Police Service,Metropolitan Police Service,-0.07602,51.54844,On or near Bradbury Street,E01033699,Hackney 021G,Bicycle theft,Status update unavailable,,Hackney,"51.54545751868495,-0.06844133632836444"
66456,66456,metropolitan-street.csv,ae80d6eb72252f67b2f1fb2758e229b99e4bc3193e7f3a28430bd4c14c00714d,2016-09,Metropolitan Police Service,Metropolitan Police Service,-0.07602,51.54844,On or near Bradbury Street,E01033699,Hackney 021G,Bicycle theft,Investigation complete; no suspect identified,,Hackney,"51.54545751868495,-0.06844133632836444"
9551,9551,metropolitan-street.csv,aea1f90e31c64b1087b2c716e268dd50512177afe53cc258b450f0c2f7bc453e,2016-01,Metropolitan Police Service,Metropolitan Police Service,-0.276326,51.532463,On or near Whitby Avenue,E01000600,Brent 027E,Bicycle theft,Offender given community sentence,,Brent,"51.54918472638431,-0.25241500488599294"
9550,9550,metropolitan-street.csv,aea1f90e31c64b1087b2c716e268dd50512177afe53cc258b450f0c2f7bc453e,2016-01,Metropolitan Police Service,Metropolitan Police Service,-0.276326,51.532463,On or near Whitby Avenue,E01000600,Brent 027E,Bicycle theft,Status update unavailable,,Brent,"51.54918472638431,-0.25241500488599294"
104567,104567,metropolitan-street.csv,aeb1687467256a93852851cc5a4a00f2cf59e2b82f6c9f6636102c79e112a216,2017-02,Metropolitan Police Service,Metropolitan Police Service,0.137045,51.533385,On or near Baden Powell Close,E01000056,Barking and Dagenham 018C,Bicycle theft,Investigation complete; no suspect identified,,Barking and Dagenham,"51.54444845241576,0.12830302489019063"
